X,Y,Z
411285.0829,162585.8775,1830.471436
411296.506,162569.4607,1827.208984
411307.9291,162553.0438,1823.256836
411319.3523,162536.627,1820.718872
411330.7754,162520.2102,1822.797852
411342.1985,162503.7934,1822.036255
411353.6217,162487.3766,1821.532715
411365.0448,162470.9597,1820.706421
411376.4679,162454.5429,1818.203857
411387.8911,162438.1261,1821.793823
411399.3142,162421.7093,1823.639893
411410.7373,162405.2925,1827.814697
411422.1605,162388.8756,1829.652222
411433.5836,162372.4588,1832.690552
411445.0067,162356.042,1832.526611
411456.4299,162339.6252,1833.001709
411467.853,162323.2084,1832.826416
411479.2761,162306.7915,1832.084595
411490.6993,162290.3747,1830.795166
411502.1224,162273.9579,1829.947021
411513.5455,162257.5411,1828.453857
411524.9687,162241.1243,1826.864136
411536.3918,162224.7074,1826.117188
411547.8149,162208.2906,1824.321167
411559.2381,162191.8738,1822.097168
411570.6612,162175.457,1820.771729
411582.0843,162159.0402,1817.496826
411593.5075,162142.6233,1813.225586
411604.9306,162126.2065,1808.7677
411616.3538,162109.7897,1812.72644
411627.7769,162093.3729,1815.740112
411639.2,162076.956,1818.523315
411650.6232,162060.5392,1818.959106
411662.0463,162044.1224,1820.334717
411673.4694,162027.7056,1821.021362
411684.8926,162011.2888,1820.781128
411696.3157,161994.8719,1822.114014
411707.7388,161978.4551,1821.899414
411719.162,161962.0383,1822.47229
411730.5851,161945.6215,1822.672119
411742.0082,161929.2047,1822.428955
411753.4314,161912.7878,1821.539063
411764.8545,161896.371,1820.883179
411776.2776,161879.9542,1818.792358
411787.7008,161863.5374,1815.908936
411799.1239,161847.1206,1808.758301
411810.547,161830.7037,1806.535645
411821.9702,161814.2869,1811.254639
411833.3933,161797.8701,1812.92627
411844.8164,161781.4533,1813.682251
411856.2396,161765.0365,1811.240845
411867.6627,161748.6196,1809.326294
411879.0858,161732.2028,1804.257935
411890.509,161715.786,1803.062744
411901.9321,161699.3692,1807.896362
411913.3552,161682.9524,1810.416016
411924.7784,161666.5355,1815.310913
411936.2015,161650.1187,1816.092285
411947.6246,161633.7019,1817.794678
411959.0478,161617.2851,1820.175415
411970.4709,161600.8682,1820.11792
411981.894,161584.4514,1822.936035
411993.3172,161568.0346,1824.387695
412004.7403,161551.6178,1827.150635
412016.1635,161535.201,1827.619995
412027.5866,161518.7841,1829.240723
412039.0097,161502.3673,1828.989014
412050.4329,161485.9505,1828.23291
