POINT_X,POINT_Y,RASTERVALU
456239.0732,5052164.918,1364.759277
456256.0736,5052154.385,1364.335938
456273.0738,5052143.853,1363.742676
456290.0742,5052133.32,1363.265869
456307.0745,5052122.787,1362.758545
456324.0749,5052112.254,1362.471191
456341.0753,5052101.721,1362.149048
456358.0755,5052091.189,1361.736084
456375.0759,5052080.656,1361.40918
456392.0763,5052070.123,1360.925293
456409.0766,5052059.59,1360.454468
456426.0769,5052049.057,1359.960815
456443.0773,5052038.525,1359.347046
456460.0776,5052027.992,1358.756348
456477.0779,5052017.459,1358.325439
456494.0782,5052006.926,1357.780151
456511.0786,5051996.393,1357.404541
456528.0789,5051985.861,1356.894165
456545.0792,5051975.328,1356.361938
456562.0795,5051964.795,1355.950684
456579.0799,5051954.262,1355.46582
456596.0801,5051943.729,1355.02063
456613.0805,5051933.197,1354.75293
456630.0809,5051922.664,1354.414673
456647.0811,5051912.131,1354.083496
456664.0815,5051901.598,1353.734009
456681.0818,5051891.065,1353.413818
456698.082,5051880.533,1353.165405
456715.0824,5051870,1352.917725
456732.0826,5051859.467,1352.600098
456749.083,5051848.934,1352.335449
456766.0833,5051838.401,1352.145752
456783.0836,5051827.869,1351.946533
456800.0839,5051817.336,1351.712524
456817.0842,5051806.803,1351.387817
456834.0845,5051796.27,1350.992065
456851.0848,5051785.737,1350.711792
456868.0851,5051775.205,1350.169434
456885.0854,5051764.672,1349.763306
456902.0857,5051754.139,1349.509399
456919.086,5051743.606,1349.303101
456936.0862,5051733.073,1349.173828
456953.0866,5051722.54,1349.160034
456970.0868,5051712.008,1349.160034
456987.0871,5051701.475,1349.160034
457004.0874,5051690.942,1349.160034
457021.0876,5051680.409,1349.160034
457038.0879,5051669.876,1349.160034
457055.0883,5051659.343,1349.160034
457072.0885,5051648.811,1349.160034
457089.0888,5051638.278,1349.160034
457106.0891,5051627.745,1349.160034
457123.0893,5051617.212,1349.61084
457140.0896,5051606.679,1350.447754
457157.0899,5051596.147,1350.860962
457174.0901,5051585.614,1350.772705
457191.0904,5051575.081,1350.811401
457208.0906,5051564.548,1350.82312
457225.0909,5051554.015,1350.918213
457242.0912,5051543.483,1350.716309
457259.0914,5051532.95,1350.381836
457276.0917,5051522.417,1350.102417
457293.092,5051511.884,1349.734375
457310.0922,5051501.351,1349.648071
457327.0925,5051490.818,1349.594849
457344.0928,5051480.286,1349.778564
457361.0929,5051469.753,1349.809814
457378.0932,5051459.22,1349.812622
457395.0935,5051448.687,1349.75647
457412.0937,5051438.154,1349.718018
457429.094,5051427.622,1349.750366
457446.0941,5051417.089,1349.76001
457463.0944,5051406.556,1349.76001
457480.0947,5051396.023,1350.026123
457497.0949,5051385.49,1350.498901
457514.0951,5051374.957,1350.978394
457531.0954,5051364.425,1351.332642
457548.0956,5051353.892,1351.72937
457565.0959,5051343.359,1352.172729
457582.0961,5051332.826,1352.501343
457599.0963,5051322.293,1352.741577
457616.0965,5051311.761,1353.260376
457633.0968,5051301.228,1353.527832
457650.097,5051290.695,1353.773804
457667.0972,5051280.162,1354.177246
457684.0974,5051269.629,1354.326904
457701.0976,5051259.096,1354.480713
457718.0979,5051248.564,1354.821289
457735.098,5051238.031,1355.142578
457752.0983,5051227.498,1355.551392
457769.0985,5051216.965,1355.817261
457786.0987,5051206.432,1356.091064
457803.0989,5051195.899,1356.497925
457820.0992,5051185.367,1356.73877
457837.0993,5051174.834,1357.046387
457854.0996,5051164.301,1357.413818
457871.0998,5051153.768,1357.662964
457888.1,5051143.235,1357.807373
457905.1002,5051132.702,1358.04834
457922.1003,5051122.17,1358.170044
457939.1006,5051111.637,1358.284058
457956.1008,5051101.104,1358.457886
457973.1009,5051090.571,1358.662354
457990.1012,5051080.038,1358.916016
458007.1014,5051069.505,1359.129272
458024.1015,5051058.973,1359.433838
458041.1017,5051048.44,1359.829956
458058.102,5051037.907,1360.179565
458075.1021,5051027.374,1360.506714
458092.1023,5051016.841,1360.872803
458109.1025,5051006.308,1361.19165
458126.1026,5050995.776,1361.430786
458143.1028,5050985.243,1361.617065
458160.103,5050974.71,1361.755737
458177.1032,5050964.177,1361.799438
458194.1034,5050953.644,1361.76355
458211.1035,5050943.111,1361.864502
458228.1037,5050932.579,1361.964111
458245.1039,5050922.046,1362.061157
458262.104,5050911.513,1362.083984
458279.1042,5050900.98,1362.115601
458296.1044,5050890.447,1362.299927
458313.1045,5050879.914,1362.533691
458330.1047,5050869.382,1362.616821
458347.1048,5050858.849,1362.679565
458364.105,5050848.316,1362.667236
458381.1052,5050837.783,1362.721436
458398.1053,5050827.25,1362.863281
458415.1055,5050816.717,1363.062256
458432.1057,5050806.185,1363.189697
458449.1058,5050795.652,1363.370239
458466.106,5050785.119,1363.653076
458483.1061,5050774.586,1363.843506
458500.1062,5050764.053,1364.176392
458517.1064,5050753.52,1364.492432
458534.1066,5050742.988,1364.75769
458551.1067,5050732.455,1364.935303
458568.1068,5050721.922,1364.889282
458585.1069,5050711.389,1364.901001
458602.1071,5050700.856,1364.921143
458619.1073,5050690.323,1365.093872
458636.1073,5050679.79,1365.450195
458653.1075,5050669.258,1366.822021
458670.1077,5050658.725,1369.280273
458687.1077,5050648.192,1373.430908
458704.1079,5050637.659,1376.203491
458721.1081,5050627.126,1378.521362
458738.1081,5050616.593,1380.58252
458755.1083,5050606.061,1381.693481
458772.1084,5050595.528,1382.888184
458789.1085,5050584.995,1384.389282
458806.1087,5050574.462,1385.328979
458823.1087,5050563.929,1386.345703
458840.1089,5050553.396,1387.349609
458857.109,5050542.863,1387.895508
458874.1091,5050532.331,1388.299927
458891.1092,5050521.798,1388.460815
458908.1094,5050511.265,1388.402344
458925.1094,5050500.732,1387.717651
458942.1095,5050490.199,1387.158569
458959.1097,5050479.666,1386.268433
458976.1097,5050469.134,1384.400635
458993.1099,5050458.601,1383.300171
459010.11,5050448.068,1382.28064
459027.11,5050437.535,1380.666138
459044.1102,5050427.002,1379.611206
459061.1102,5050416.469,1378.081787
459078.1103,5050405.936,1377.124023
459095.1105,5050395.404,1376.0896
459112.1105,5050384.871,1374.385498
459129.1106,5050374.338,1373.319336
459146.1108,5050363.805,1372.108521
459163.1108,5050353.272,1370.389648
459180.1109,5050342.739,1369.115967
459197.111,5050332.206,1367.956543
459214.111,5050321.674,1366.471313
459231.1112,5050311.141,1366.168701
459248.1113,5050300.608,1366.526733
459265.1113,5050290.075,1367.084351
459282.1114,5050279.542,1367.626831
459299.1114,5050269.009,1367.879272
459315.1738,5050257.169,1367.990479
459330.6034,5050244.446,1367.659424
459346.033,5050231.723,1368.089355
459361.4625,5050219,1369.942871
459376.8921,5050206.277,1372.917358
459392.3217,5050193.554,1375.210815
459407.7512,5050180.831,1377.176758
459423.1808,5050168.109,1378.749146
459438.6104,5050155.386,1380.085205
459454.0399,5050142.663,1381.385986
459469.4694,5050129.94,1382.648804
459484.899,5050117.217,1384.677246
459500.3286,5050104.494,1385.969604
459515.7582,5050091.771,1387.25061
459531.1877,5050079.049,1388.33252
459546.6173,5050066.326,1389.947754
459562.0469,5050053.603,1391.191284
459577.4763,5050040.88,1392.025391
459592.9059,5050028.157,1392.539673
459608.3355,5050015.434,1392.986816
459623.7651,5050002.711,1393.502563
459639.1945,5049989.988,1393.592041
459654.6241,5049977.266,1393.463745
459670.0537,5049964.543,1393.192749
459685.4833,5049951.82,1392.856323
459700.9127,5049939.097,1392.01416
459716.3423,5049926.374,1391.293335
459731.7719,5049913.651,1389.84375
459747.2013,5049900.928,1387.712769
459762.6309,5049888.205,1385.504272
459778.0604,5049875.482,1383.732788
459793.49,5049862.76,1381.487915
459808.9195,5049850.037,1381.371582
459824.349,5049837.314,1383.725708
459839.7786,5049824.591,1385.105591
459855.2081,5049811.868,1386.269165
459870.6376,5049799.145,1387.671753
459886.0671,5049786.422,1388.999512
459901.4967,5049773.699,1390.38916
459916.9262,5049760.977,1390.362793
459932.3557,5049748.254,1391.145752
459947.7852,5049735.531,1393.102051
459963.2147,5049722.808,1396.165405
459978.6442,5049710.085,1398.290405
459994.0737,5049697.362,1400.290771
460009.5033,5049684.639,1401.872925
460024.9328,5049671.917,1403.221558
460040.3622,5049659.194,1403.461182
460055.7918,5049646.471,1403.354736
460071.2213,5049633.748,1402.977661
460086.6508,5049621.025,1402.434692
460102.0802,5049608.302,1403.711182
460117.5098,5049595.579,1404.346191
460132.9393,5049582.856,1404.251953
460148.3687,5049570.133,1403.876099
460163.7982,5049557.411,1404.721558
460179.2278,5049544.688,1405.118408
460194.6573,5049531.965,1405.279785
460210.0867,5049519.242,1405.356445
460225.5162,5049506.519,1405.011353
460240.9457,5049493.796,1404.668579
460256.3752,5049481.073,1403.885498
460271.8046,5049468.351,1402.970825
460287.2341,5049455.628,1400.906616
460302.6637,5049442.905,1399.766846
